neuron	chem_out	chem_in	electrical	total_degree
dBWML10	0	65	60	125
dBWMR13	0	65	60	125
VC02	74	17	34	125
SIBDL	49	38	38	125
vBWML6	0	64	60	124
dBWMR12	0	64	60	124
I2R	88	24	12	124
PDA	76	2	46	124
dBWML9	0	61	62	123
DA04	73	36	14	123
AWBL	74	28	20	122
dBWMR14	0	62	60	122
dBWMR8	0	62	60	122
vBWML10	0	62	60	122
dBWML8	0	61	60	121
dBWMR11	0	61	60	121
dBWML12	0	60	60	120
I6	103	6	10	119
AFDR	35	46	38	119
URBL	64	17	38	119
VB01	76	34	8	118
dBWML13	0	58	60	118
VA01	34	42	42	118
PHAL	60	14	44	118
PDB	32	2	84	118
dBWMR9	0	57	60	117
URAVR	82	27	8	117
dBWMR10	0	57	60	117
DB04	66	19	32	117
IL2R	87	11	18	116
VB09	66	2	48	116
RID	19	55	42	116
VA07	81	19	16	116
VD08	29	62	24	115
VC01	60	13	42	115
RMHL	22	70	22	114
VA10	59	19	36	114
VB05	79	10	24	113
IL2VL	103	4	6	113
AFDL	36	28	48	112
DB05	77	1	34	112
BDUL	36	28	48	112
vBWML5	0	51	60	111
dBWML14	0	50	60	110
RMFL	49	46	14	109
vBWMR9	0	49	60	109
vBWML16	0	49	60	109
dBWML7	0	48	60	108
dBWML2	0	48	60	108
DA06	80	11	16	107
VD01	30	43	34	107
dBWMR15	0	47	60	107
ASGL	67	17	22	106
dBWML15	0	45	60	105
PVWL	5	20	80	105
M3L	30	60	14	104
VB08	66	4	34	104
VB07	66	4	34	104
PVWR	5	8	90	103
DB06	64	1	38	103
dBWML1	0	43	60	103
dBWMR2	0	43	60	103
AS02	49	27	26	102
PLNL	45	34	22	101
I5	74	20	6	100
SDQL	59	31	10	100
vBWMR5	0	39	60	99
VD10	27	48	24	99
URYDL	65	22	12	99
VA09	58	21	18	97
AS10	30	20	46	96
vBWMR16	0	36	60	96
VA08	69	19	8	96
I2L	66	21	8	95
VA05	58	19	18	95
AIMR	66	17	12	95
RIFL	58	30	6	94
dBWMR16	0	34	60	94
dBWML16	0	34	60	94
